time 	 LH 	 RH
7691	 7691	 7691 
000.012	50.0000	50.0000	
000.018	48.6221	51.3779	
000.071	47.2591	52.7409	
000.142	45.9624	54.0376	
000.222	44.7374	55.2626	
000.268	43.7275	56.2725	
000.329	42.8277	57.1723	
000.387	42.1351	57.8649	
000.452	41.4967	58.5033	
000.516	40.9591	59.0409	
000.577	40.3717	59.6283	
000.639	39.4486	60.5514	
000.704	38.3506	61.6494	
000.768	37.1433	62.8567	
000.828	36.0574	63.9426	
000.887	35.1212	64.8788	
000.951	34.4877	65.5123	
001.015	34.3941	65.6059	
001.069	34.8340	65.1660	
001.133	34.9995	65.0005	
001.197	35.2078	64.7922	
001.261	35.6648	64.3352	
001.321	36.4604	63.5396	
001.381	37.3567	62.6432	
001.445	38.2011	61.7989	
001.516	39.2893	60.7107	
001.577	40.3095	59.6905	
001.639	41.3593	58.6407	
001.705	42.5458	57.4542	
001.767	43.9461	56.0539	
001.828	45.4368	54.5632	
001.888	47.0250	52.9750	
001.952	48.3194	51.6806	
002.016	49.3073	50.6927	
002.076	50.1728	49.8272	
002.141	51.3096	48.6904	
002.204	52.6787	47.3213	
002.293	53.9984	46.0016	
002.325	55.1595	44.8405	
002.388	56.1719	43.8281	
002.451	57.0300	42.9700	
002.516	57.6397	42.3603	
002.576	58.3962	41.6038	
002.639	59.0983	40.9017	
002.703	59.5719	40.4281	
002.768	59.8590	40.1410	
002.828	60.0773	39.9227	
002.888	60.2386	39.7614	
002.951	60.2954	39.7046	
003.015	60.0765	39.9235	
003.075	59.7287	40.2713	
003.139	59.4331	40.5669	
003.206	59.0538	40.9462	
003.270	58.9717	41.0283	
003.329	58.8677	41.1323	
003.388	58.8215	41.1785	
003.452	58.7070	41.2930	
003.509	58.7087	41.2913	
003.569	58.7830	41.2170	
003.639	58.9059	41.0941	
003.703	59.3306	40.6694	
003.761	59.8596	40.1404	
003.828	60.2339	39.7661	
003.888	60.8658	39.1342	
003.951	61.3578	38.6422	
004.016	61.8917	38.1083	
004.076	62.4220	37.5779	
004.140	62.7879	37.2121	
004.203	62.8886	37.1114	
004.268	62.6862	37.3138	
004.328	62.4823	37.5177	
004.387	61.9336	38.0664	
004.451	61.6211	38.3789	
004.516	61.4043	38.5957	
004.576	61.4127	38.5873	
004.640	61.5291	38.4709	
004.704	61.6063	38.3937	
004.767	61.8263	38.1737	
004.828	62.1346	37.8654	
004.889	62.5448	37.4552	
004.951	63.1521	36.8479	
005.017	63.9016	36.0984	
005.076	64.5014	35.4986	
005.139	64.9037	35.0963	
005.203	65.4156	34.5844	
005.267	65.7176	34.2824	
005.327	66.0975	33.9025	
005.388	66.5059	33.4941	
005.452	66.8237	33.1763	
005.517	66.8999	33.1001	
005.576	66.7735	33.2265	
005.640	66.2811	33.7189	
005.704	65.4755	34.5245	
005.768	64.7956	35.2044	
005.828	64.1629	35.8371	
005.888	63.5103	36.4897	
005.952	63.1330	36.8670	
006.016	62.7221	37.2779	
006.076	62.5596	37.4404	
006.140	62.5845	37.4155	
006.206	62.4890	37.5110	
006.268	62.1751	37.8249	
006.328	61.7473	38.2527	
006.388	61.3108	38.6892	
006.452	60.8783	39.1217	
006.515	60.3959	39.6041	
006.576	59.7767	40.2233	
006.640	58.9477	41.0523	
006.705	58.3252	41.6748	
006.768	57.8749	42.1251	
006.828	57.4299	42.5701	
006.889	56.9479	43.0521	
006.952	56.3236	43.6765	
007.015	55.5332	44.4668	
7692	 7692	 7692 
7701	 7701	 7701 
000.002	50.0000	50.0000	
000.030	50.0000	50.0000	
000.035	50.4671	49.5329	
000.085	51.0818	48.9182	
000.148	51.5540	48.4461	
000.212	51.6390	48.3610	
000.282	51.6816	48.3184	
000.330	51.3917	48.6083	
000.394	51.0505	48.9495	
000.458	50.4096	49.5904	
000.522	49.6779	50.3221	
000.582	48.8761	51.1239	
000.642	47.7816	52.2184	
000.706	46.6011	53.3989	
000.774	45.4629	54.5371	
000.830	44.3540	55.6460	
000.894	43.2190	56.7810	
000.958	42.1043	57.8957	
001.022	40.9355	59.0645	
001.082	39.6845	60.3155	
001.146	38.5519	61.4481	
001.212	37.5178	62.4822	
001.282	36.4451	63.5549	
001.336	35.5041	64.4959	
001.401	34.5280	65.4720	
001.465	33.5706	66.4294	
001.529	32.6764	67.3236	
001.589	31.7250	68.2750	
001.648	30.8497	69.1503	
001.712	30.0051	69.9949	
001.780	29.3251	70.6749	
001.837	28.5939	71.4061	
001.900	27.6900	72.3100	
001.964	26.7078	73.2922	
002.028	25.6986	74.3014	
002.088	24.7255	75.2745	
002.148	23.7414	76.2586	
002.212	22.7961	77.2039	
002.281	21.9174	78.0826	
002.337	21.0568	78.9432	
002.401	20.2459	79.7541	
002.465	19.4396	80.5604	
7703	 7703	 7703 
7691	 7691	 7691 
000.001	50.0000	50.0000	
000.017	50.0000	50.0000	
000.020	51.3881	48.6119	
000.087	52.9003	47.0997	
000.147	54.2642	45.7358	
000.207	55.3563	44.6437	
000.274	56.3956	43.6044	
000.340	57.5220	42.4780	
000.395	58.7985	41.2015	
000.459	60.0047	39.9953	
000.523	61.0943	38.9057	
000.589	62.0978	37.9022	
000.648	63.0823	36.9177	
000.707	63.8907	36.1093	
000.775	64.6477	35.3523	
000.840	65.2928	34.7072	
000.896	65.3598	34.6402	
000.960	65.2553	34.7447	
001.024	64.8550	35.1450	
001.087	64.4921	35.5079	
001.148	64.3126	35.6874	
001.207	64.4613	35.5387	
001.275	64.5444	35.4556	
001.339	64.6326	35.3674	
001.394	64.6094	35.3906	
001.459	64.5938	35.4062	
001.523	64.5694	35.4306	
001.587	64.6709	35.3291	
001.647	64.9643	35.0357	
001.708	65.3901	34.6099	
001.775	66.0301	33.9699	
001.840	66.6832	33.3168	
001.895	67.2583	32.7417	
001.959	67.8686	32.1314	
002.023	68.6631	31.3369	
002.087	69.2125	30.7875	
002.147	69.5636	30.4364	
002.207	69.7679	30.2321	
002.276	70.0200	29.9800	
002.339	70.1166	29.8834	
002.396	70.1951	29.8049	
002.461	70.2560	29.7440	
002.524	70.4243	29.5757	
002.587	70.5659	29.4341	
002.648	70.3958	29.6042	
002.708	69.8863	30.1137	
002.769	69.1182	30.8818	
002.839	68.1660	31.8340	
002.895	67.1098	32.8902	
002.960	65.9870	34.0130	
003.024	64.4361	35.5639	
003.088	63.3038	36.6962	
003.149	62.3848	37.6152	
003.209	61.5561	38.4439	
003.276	60.7807	39.2193	
003.339	60.3526	39.6474	
003.397	60.0033	39.9967	
003.460	59.6748	40.3252	
003.523	59.3404	40.6596	
003.587	59.0725	40.9275	
003.648	58.7285	41.2715	
003.707	58.7043	41.2957	
003.776	58.7509	41.2491	
003.840	58.7483	41.2517	
003.895	58.6197	41.3803	
003.960	58.5657	41.4343	
004.024	58.8043	41.1957	
004.081	59.1608	40.8392	
004.141	59.6146	40.3854	
004.207	60.2382	39.7618	
004.276	60.9445	39.0555	
004.339	61.7761	38.2239	
004.396	62.7888	37.2112	
004.459	63.8116	36.1884	
004.523	64.8529	35.1471	
004.588	65.7703	34.2297	
004.648	66.7260	33.2740	
004.708	67.4565	32.5435	
004.775	67.8357	32.1643	
004.839	68.1982	31.8018	
004.895	68.6333	31.3667	
004.959	69.0110	30.9890	
005.023	69.3510	30.6490	
005.087	69.6658	30.3342	
005.147	69.7549	30.2451	
005.209	69.8596	30.1404	
005.276	69.9238	30.0762	
005.339	69.8429	30.1571	
005.388	69.6829	30.3171	
005.452	69.2748	30.7252	
005.516	68.7812	31.2188	
005.586	68.1789	31.8211	
005.648	67.5713	32.4287	
005.707	67.0941	32.9059	
005.768	66.7158	33.2842	
005.832	66.4155	33.5845	
005.894	65.8358	34.1642	
005.960	65.2059	34.7941	
006.023	64.6904	35.3096	
006.088	64.5356	35.4644	
006.147	64.4842	35.5158	
006.207	64.2477	35.7523	
006.275	64.0096	35.9904	
006.339	63.7859	36.2141	
006.396	63.6308	36.3692	
006.460	63.5697	36.4303	
006.524	63.5558	36.4442	
006.588	63.6468	36.3532	
006.648	63.9538	36.0462	
006.707	64.1904	35.8096	
006.775	64.4843	35.5157	
006.838	64.5556	35.4444	
006.895	64.7482	35.2518	
006.959	65.0075	34.9925	
007.023	65.0190	34.9810	
7692	 7692	 7692 
7701	 7701	 7701 
000.000	50.0000	50.0000	
000.049	50.0000	50.0000	
000.052	50.0000	50.0000	
000.120	48.3632	51.6368	
000.175	47.0587	52.9413	
000.240	46.1061	53.8939	
000.304	45.2084	54.7916	
000.368	44.5251	55.4749	
000.428	44.1942	55.8059	
000.493	43.9407	56.0593	
000.556	43.8522	56.1478	
000.619	43.4715	56.5285	
000.675	42.8823	57.1177	
000.740	42.1145	57.8855	
000.805	41.2417	58.7583	
000.868	40.3979	59.6021	
000.928	39.6354	60.3646	
000.992	38.9692	61.0308	
001.055	38.6977	61.3023	
001.119	38.4378	61.5622	
001.169	37.8665	62.1335	
001.233	37.0236	62.9764	
001.297	35.9954	64.0046	
001.361	34.8211	65.1789	
001.421	33.5276	66.4724	
001.485	32.2244	67.7756	
001.549	30.8645	69.1355	
001.613	29.5842	70.4158	
001.669	28.4516	71.5484	
001.732	27.3805	72.6195	
001.797	26.4179	73.5821	
001.865	25.5228	74.4772	
001.921	24.6520	75.3480	
001.985	23.8371	76.1629	
002.049	23.0057	76.9943	
002.113	22.2497	77.7503	
002.169	21.5320	78.4680	
002.233	20.8872	79.1128	
002.297	20.3354	79.6646	
002.361	19.9519	80.0481	
7703	 7703	 7703 
7701	 7701	 7701 
000.001	50.0000	50.0000	
000.025	50.0000	50.0000	
000.030	49.4092	50.5908	
000.082	49.1664	50.8336	
000.146	49.6244	50.3756	
000.210	50.2353	49.7647	
000.275	50.9318	49.0682	
000.334	51.6853	48.3147	
000.394	52.2130	47.7870	
000.459	52.8652	47.1348	
000.524	53.5647	46.4353	
000.582	53.8690	46.1310	
000.645	54.1222	45.8778	
000.709	54.1298	45.8702	
000.774	53.6636	46.3364	
000.834	53.3070	46.6930	
000.893	53.0525	46.9475	
000.958	52.9869	47.0131	
001.022	52.7753	47.2247	
001.082	52.1176	47.8824	
001.146	50.7736	49.2264	
001.203	49.1873	50.8127	
001.267	47.5927	52.4073	
001.327	45.9302	54.0698	
001.387	44.3777	55.6223	
001.451	42.8180	57.1820	
001.515	41.3648	58.6352	
001.575	39.9701	60.0299	
001.639	38.6164	61.3836	
001.703	37.3721	62.6279	
001.767	36.3059	63.6941	
001.827	35.2674	64.7326	
001.887	34.1514	65.8486	
001.951	33.1702	66.8298	
002.015	32.5954	67.4046	
002.075	32.6837	67.3163	
002.139	32.7065	67.2935	
002.207	32.7131	67.2869	
002.274	32.8033	67.1967	
002.334	32.8789	67.1211	
002.395	33.1119	66.8881	
002.457	33.4571	66.5429	
002.523	33.6393	66.3607	
002.584	33.8571	66.1429	
002.649	34.1509	65.8491	
002.709	34.4031	65.5969	
002.774	34.7971	65.2029	
002.834	35.2914	64.7086	
002.894	36.0866	63.9134	
002.958	36.7957	63.2043	
003.023	37.1232	62.8768	
003.083	37.2283	62.7717	
003.148	37.1207	62.8793	
003.211	37.3785	62.6215	
003.276	37.8503	62.1497	
003.334	38.1939	61.8061	
003.394	38.3625	61.6375	
003.459	38.3099	61.6901	
003.523	37.9985	62.0015	
003.583	37.3502	62.6498	
003.647	36.6301	63.3699	
003.712	35.9333	64.0667	
003.776	35.1795	64.8205	
003.834	34.5162	65.4838	
003.894	33.8445	66.1555	
003.961	32.9631	67.0369	
004.024	32.1820	67.8180	
004.083	31.2870	68.7130	
004.147	30.4778	69.5222	
004.212	29.7051	70.2949	
004.275	28.8201	71.1799	
004.335	27.9549	72.0451	
004.395	27.0628	72.9372	
004.451	26.3017	73.6983	
004.522	25.5628	74.4372	
004.576	24.8818	75.1182	
004.639	24.1664	75.8336	
004.703	23.5266	76.4734	
004.767	22.8170	77.1830	
004.828	22.0661	77.9339	
004.887	21.3433	78.6567	
004.951	20.7758	79.2242	
005.015	20.2493	79.7507	
005.075	19.7623	80.2377	
7703	 7703	 7703 
7691	 7691	 7691 
000.002	50.0000	50.0000	
000.037	50.0000	50.0000	
000.043	49.3713	50.6287	
000.102	48.9343	51.0657	
000.163	48.7087	51.2914	
000.226	48.8339	51.1661	
000.290	49.3944	50.6056	
000.351	49.9097	50.0903	
000.407	50.7445	49.2555	
000.471	51.8382	48.1618	
000.535	53.0577	46.9423	
000.595	54.3292	45.6708	
000.655	55.5726	44.4274	
000.719	56.9054	43.0946	
000.783	58.3082	41.6917	
000.843	59.5555	40.4445	
000.907	60.6122	39.3878	
000.971	61.4658	38.5342	
001.035	62.2773	37.7227	
001.095	62.9495	37.0505	
001.155	63.4961	36.5039	
001.219	64.0645	35.9355	
001.283	64.3894	35.6106	
001.343	64.8599	35.1401	
001.407	65.3126	34.6874	
001.471	65.8847	34.1153	
001.535	66.3168	33.6832	
001.595	66.6173	33.3827	
001.655	66.9335	33.0665	
001.719	67.0517	32.9483	
001.783	67.0888	32.9112	
001.843	67.2988	32.7012	
001.907	67.8653	32.1347	
001.971	68.4700	31.5300	
002.035	68.8889	31.1111	
002.095	69.2241	30.7759	
002.155	69.6598	30.3402	
002.219	69.9526	30.0474	
002.283	70.1466	29.8534	
002.343	70.1500	29.8500	
002.407	69.9054	30.0946	
002.471	69.4648	30.5352	
002.535	68.7238	31.2762	
002.595	67.6552	32.3448	
002.655	66.3966	33.6034	
002.719	65.1499	34.8501	
002.787	63.6858	36.3142	
002.843	62.5520	37.4480	
002.907	61.7639	38.2361	
002.971	61.1887	38.8113	
003.035	60.8277	39.1723	
003.095	60.7232	39.2768	
003.155	60.5483	39.4517	
003.219	60.4064	39.5936	
003.287	60.4470	39.5530	
003.344	60.6197	39.3803	
003.407	60.7815	39.2185	
003.471	61.0436	38.9564	
003.535	61.2691	38.7309	
003.595	61.6262	38.3738	
003.655	62.1172	37.8828	
003.719	62.5533	37.4467	
003.787	63.1266	36.8734	
003.843	63.7183	36.2817	
003.913	64.3834	35.6166	
003.978	65.2466	34.7534	
004.042	66.1183	33.8817	
004.102	66.8347	33.1654	
004.162	67.4796	32.5204	
004.226	67.9467	32.0533	
004.294	68.3300	31.6700	
004.350	68.4897	31.5103	
004.414	68.7991	31.2009	
004.478	69.1336	30.8664	
004.542	69.6137	30.3863	
004.602	70.2004	29.7996	
004.662	70.7906	29.2094	
004.725	71.3220	28.6780	
004.795	71.9694	28.0306	
004.849	72.4768	27.5232	
004.914	72.4804	27.5196	
004.971	72.2144	27.7856	
005.040	72.0402	27.9598	
005.102	71.7841	28.2159	
005.162	71.5742	28.4258	
005.226	71.6272	28.3728	
005.293	71.5583	28.4417	
005.350	71.3110	28.6890	
005.414	70.8304	29.1696	
005.479	70.5069	29.4931	
005.542	70.3896	29.6105	
005.602	70.4256	29.5744	
005.661	70.5566	29.4434	
005.726	70.6585	29.3415	
005.794	70.5557	29.4443	
005.851	70.5610	29.4390	
005.915	70.5638	29.4362	
005.979	70.3732	29.6268	
006.043	70.2366	29.7634	
006.102	70.2880	29.7120	
006.163	70.4301	29.5699	
006.225	70.7170	29.2830	
006.294	71.0394	28.9606	
006.350	71.4822	28.5178	
006.414	72.0658	27.9342	
006.479	72.7440	27.2560	
006.542	73.4028	26.5972	
006.596	74.0821	25.9179	
006.658	74.8433	25.1567	
006.726	75.6125	24.3875	
006.794	76.4302	23.5698	
006.850	77.1979	22.8021	
006.914	77.9035	22.0965	
006.979	78.6509	21.3491	
007.043	79.3600	20.6400	
7692	 7692	 7692 
7691	 7691	 7691 
000.000	50.0000	50.0000	
000.024	50.0000	50.0000	
000.026	50.7976	49.2024	
000.093	51.4263	48.5737	
000.159	52.1798	47.8202	
000.219	53.1108	46.8892	
000.284	53.9164	46.0836	
000.344	54.6868	45.3132	
000.408	55.2386	44.7614	
000.476	55.3786	44.6214	
000.532	55.3410	44.6590	
000.597	55.1546	44.8454	
000.661	54.7654	45.2346	
000.725	54.3071	45.6929	
000.785	53.9255	46.0745	
000.846	53.5443	46.4557	
000.909	52.9690	47.0310	
000.977	52.5328	47.4672	
001.033	52.1741	47.8259	
001.097	51.9634	48.0366	
001.154	51.9692	48.0308	
001.225	52.2846	47.7154	
001.284	52.2394	47.7606	
001.344	52.1496	47.8505	
001.413	51.9739	48.0261	
001.477	52.1170	47.8830	
001.532	52.2349	47.7651	
001.597	52.2109	47.7891	
001.653	52.2148	47.7852	
001.724	52.2412	47.7588	
001.786	52.2240	47.7760	
001.843	52.4207	47.5793	
001.912	52.7860	47.2140	
001.976	53.2749	46.7251	
002.032	53.7516	46.2484	
002.096	54.1961	45.8039	
002.160	54.5175	45.4825	
002.225	54.5616	45.4384	
002.285	55.1504	44.8496	
002.344	55.9802	44.0198	
002.413	56.9314	43.0686	
002.476	57.5740	42.4260	
002.533	58.1571	41.8429	
002.597	58.8966	41.1034	
002.660	59.6769	40.3231	
002.725	60.2512	39.7488	
002.784	60.9201	39.0799	
002.844	61.4326	38.5674	
002.912	61.8216	38.1784	
002.975	61.8099	38.1901	
003.031	61.7050	38.2950	
003.096	61.5724	38.4276	
003.159	61.6738	38.3262	
003.224	61.8651	38.1349	
003.284	61.8544	38.1456	
003.344	61.8424	38.1576	
003.412	61.8968	38.1032	
003.476	62.3013	37.6987	
003.532	62.9262	37.0738	
003.597	63.8157	36.1843	
003.660	64.9236	35.0764	
